time,Open,High,Low,Close,VolumeFrom,VolumeTo
2025-06-29,2437.55,2525.9,2417.25,2501.26,143720.04,353963423.9
2025-06-30,2501.26,2524.69,2435.11,2486.37,347433.65,862990157.33
2025-07-01,2486.37,2501.58,2387.31,2405.7,257585.37,627531445.49
2025-07-02,2405.7,2619.85,2375.73,2571.33,446980.58,1127288937.64
2025-07-03,2571.33,2636.51,2557.62,2592.04,381008.29,987452946.33
2025-07-04,2592.04,2603.8,2475.46,2508.69,260732.2,659258591.62
2025-07-05,2508.69,2530.4,2488.62,2517.09,97935.38,245918493.32
2025-07-06,2517.09,2605.48,2504.53,2571.14,164312.05,419467064.37
2025-07-07,2571.14,2591.09,2512.71,2542.5,283620.03,722742288.77
2025-07-08,2542.5,2628.25,2523.96,2616.29,302820.26,782816619.68
2025-07-09,2616.29,2796.41,2590.85,2769.99,520588.94,1401139415.9
2025-07-10,2769.99,3000.74,2756.79,2951.31,615589.48,1744393184.02
2025-07-11,2951.31,3039.9,2914.32,2959.03,663817.63,1980022543.13
2025-07-12,2959.03,2980.71,2905.43,2944.27,234302.3,689836595.19
2025-07-13,2944.27,3021.17,2937.49,2973.01,258053.21,768491471.97
2025-07-14,2973.01,3083.04,2964.19,3014.66,572787.88,1733654671.96
2025-07-15,3014.66,3144.48,2933.53,3139.33,615194.29,1864246145.13
2025-07-16,3139.33,3425.33,3101.74,3373.1,765848.69,2498357116.86
2025-07-17,3373.1,3526.44,3312.55,3479.48,758805.07,2597432476.09
2025-07-18,3479.48,3676.78,3462.02,3549.56,867005.63,3107895984.56
2025-07-19,3549.56,3610.57,3510.16,3594.34,274622.3,978223077.89
2025-07-20,3594.34,3825.1,3581.09,3758.64,484664.07,1803996590.01
2025-07-21,3758.64,3859.77,3703.91,3764.26,591211.08,2235864180.81
2025-07-22,3764.26,3800.87,3618.98,3748.64,634426.21,2350611646.53
2025-07-23,3748.64,3766.35,3528.71,3630.21,616049.85,2237459018.02
2025-07-24,3630.21,3775.3,3510.45,3708.76,631094.36,2321023591.06
2025-07-25,3708.76,3750.35,3575.42,3726.01,646581.07,2367987074.41
2025-07-26,3726.01,3794.86,3700.41,3742.79,209891.67,785620815.9
2025-07-27,3742.79,3880.83,3732.24,3874.12,257113.7,981387021.29
2025-07-28,3874.12,3941.6,3754.34,3798.95,515141.86,1977987690.88
2025-07-29,3798.95,3885.97,3716.15,3793.46,474932.26,1799411630.81
2025-07-30,3793.46,3833.7,3677.33,3810.29,417457.06,1576605891.64
